decision_id	case	implementation	version	outcome	classification
JSONRPC-DEC-002	explicit-null-id	golib-jsonrpc	workspace	request;status=200;response-id=null	deliberate policy difference
JSONRPC-DEC-002	explicit-null-id	creachadair/jrpc2	v1.3.5	notification;status=204;body=empty	deliberate policy difference
JSONRPC-DEC-003	numeric-id-equivalence	golib-jsonrpc	workspace	1=1.0=1e0;9007199254740993=preserved	deliberate policy difference
JSONRPC-DEC-003	numeric-id-equivalence	creachadair/jrpc2	v1.3.5	1!=1.0!=1e0;9007199254740993=preserved	deliberate policy difference
JSONRPC-DEC-009	notification-only-http	golib-jsonrpc	workspace	status=204;body=empty	agreement
JSONRPC-DEC-009	notification-only-http	creachadair/jrpc2	v1.3.5	status=204;body=empty	agreement
JSONRPC-DEC-010	post-application-json	golib-jsonrpc	workspace	status=200;response=success	agreement
JSONRPC-DEC-010	post-application-json	creachadair/jrpc2	v1.3.5	status=200;response=success	agreement
JSONRPC-DEC-010	get-application-json	golib-jsonrpc	workspace	status=405	agreement
JSONRPC-DEC-010	get-application-json	creachadair/jrpc2	v1.3.5	status=405	agreement
JSONRPC-DEC-010	post-application-json-rpc	golib-jsonrpc	workspace	status=200;response=success	deliberate policy difference
JSONRPC-DEC-010	post-application-json-rpc	creachadair/jrpc2	v1.3.5	status=415	deliberate policy difference
JSONRPC-DEC-010	post-vendor-json	golib-jsonrpc	workspace	status=200;response=success	deliberate policy difference
JSONRPC-DEC-010	post-vendor-json	creachadair/jrpc2	v1.3.5	status=415	deliberate policy difference
JSONRPC-DEC-010	protocol-error-http-status	golib-jsonrpc	workspace	status=200;error=-32601	agreement
JSONRPC-DEC-010	protocol-error-http-status	creachadair/jrpc2	v1.3.5	status=200;error=-32601	agreement
